Метка,Количество,Значение,Параметры,Тип,Маркировка,Аналоги,
ANT1,1,Antenna,,,,,
"C1, C3, C10",3,4.7uF,"±10%, 25V, X7R",SMD 0603,-,-,
"C2, C7",2,0.1uF,"±10%, 50V, X7R",SMD 0603,-,-,
"C4, C6, C14",3,270pF,"±10%, 50V, X7R",SMD 0603,-,-,
C5,1,2.7pF,"±0.25%, 50V, NPO",SMD 0603,-,-,
C8,1,5.1pF,"±0.25%, 50V, NPO",SMD 0603,-,-,
C9,1,1.8pF,"±0.25%, 50V, NPO",SMD 0603,-,-,
"C11, C13",2,8.2pF,"±0.1pF, 50V, NPO",SMD 0603,-,-,
C12,1,15pF,"±5%, 50V, NPO",SMD 0603,-,-,
C15,1,1uF,"±10%, 50V, X7R",SMD 0603,-,-,
DD1,1,STM32F030C6T6,"MCU, 48Mhz, 32k ROM, 4k RAM",LQFP-48,STM32F030C6T6,-,
DD2,1,SI4455-B1A,"ISM Band FSK, 10 mA (RX), 18 mA (TX),  1.83.6 V ",QFN20,455A,-,
GB1,1,BCL-PC AAA,3V,CR123A,-,-,
GB2,1,BK-888,3V,CR2032,-,-,
HL1,1,LHG2092,"Red-Green, 5V, 20mA",DIP 3mm,-,-,
L1,1,LQH32MN330K23,"33uH ±10%, 115mA",SMD 1210,330,-,
"L2, L4",2,56nH,"±2%, 360mA",SMD 0603,-,-,
L3,1,220nH,"±5%, 120mA",SMD 0603,-,-,
L5,1,22nH,"±2%, 500mA",SMD 0603,-,-,
"L6, L7",2,18nH,"±2%, 550mA",SMD 0603,-,-,
"P1, P2",2,Reper,-,SMD,-,-,
R1,1,0,"±5%, 50V, 0,1W",SMD 0603,-,-,
"R2, R4",2,1k,"±5%, 50V, 0,1W",SMD 0603,-,-,
R3,1,5.6k,"±1%, 50V, 0,1W",SMD 0603,-,-,
"R5, R7",2,100k,"±5%, 50V, 0,1W",SMD 0603,-,-,
"R8, R9",2,33.2k,"±1%, 50V, 0,1W",SMD 0603,-,-,
"R10, R11",2,33.2K,"±1%, 50V, 0,1W",SMD 0603,-,-,
SB1,1,DM3-01P,"3A, 125V",DIP 5.8x12.8,-,DM1-02P-25,
SF1,1,MKA-10110-a,"0,5А,100В",DIP,-,-,
"VD1, VD2",2,PESD5V2S2UT,"ESD, 5.2V, 152pF",SOT-23,WU1,-,
"VT1, VT2, VT3, VT4",4,IRLML9303,"P-Ch, 30V, 2A, 160мОм, S2.3",SOT-23,Rxxxx,-,
"VT10, VT13",2,IRLML2030,"N-Ch, 30V, 2A, 100мОм, S2.6",SOT-23,Jxxxx,-,
XP1,1,306-021-12,-,-,-,-,
XP2,1,PLS-1x5,-,PLS-1x5,-,-,не паять
XP3,1,PLD-2x3,-,PLD-2x3,-,-,
ZQ1,1,HC49SM,30MHz,SMD,30.000,-,
